,text,sentiment,classification,clean_text
13981,Hi everybody! Sorry for the long listening. Iwas too busy.,negative,0.0,hi everybody sorry long listening iwas busy
13984,sad that school is over gonna miss all my friends and teachers,negative,0.0,sad school gonna miss friend teacher
13985," I`d love to, but i`m all the way in India.",positive,1.0,id love im way india
13986, the happiest place on earth  j`adore,positive,1.0,happiest place earth jadore
13987,"oh dear, I`m being followed by someone that claims to help you stay young  the end is nigh",negative,0.0,oh dear im followed someone claim help stay young end nigh
13993, I agree. I missed a LOT while I was away and busy and now it`s like a whole new place,negative,0.0,agree missed lot away busy like whole new place
13996,Happy mother`s day and to the god mother`s and step mother`s too....,positive,1.0,happy mother day god mother step mother
13997,Watching the Pianist with my dad great movie.,positive,1.0,watching pianist dad great movie
14000," ah man, that`s sucks.  What happened to it that`s prompting a reinstall?",negative,0.0,ah man thats suck happened thats prompting reinstall
14001,doing my english essay (on r&j...wtf) that i should have done a long time ago when it was assigned last thursday,negative,0.0,english essay rjwtf done long time ago assigned last thursday
14002,"Obama last night: 'Most of you covered me, all of you voted for me. Apologies to the Fox table.'       http://bit.ly/bGcnW",negative,0.0,obama last night covered voted apology fox table httpbitlybgcnw
14003," i love the new hairdo! haha, and i live in NY too, so yeah it was REALLY hott!",positive,1.0,love new hairdo haha live ny yeah really hott
14004,How to get a $40 trumpet book - get caught in the rain with an $80 trumpet book ... oh dear  NY,negative,0.0,get trumpet book get caught rain trumpet book oh dear ny
14005,"i`m out of books to read, movies to watch n stuff to buy...i`m bored!",negative,0.0,im book read movie watch n stuff buyim bored
14006," we got Watts, Chingo Bling, The Chile.. can`t do this thang without BGeezy, we need u on the show!   http://bit.ly/12R3c3",positive,1.0,got watt chingo bling chile cant thang without bgeezy need u show httpbitlyrc
14010, what happened? who`s the jerk!?,negative,0.0,happened who jerk
14012, thanks   got a hold of someone there who knew their stuff..at last!,positive,1.0,thanks got hold someone knew stuffat last
14013, wow I love it !!! thanks,positive,1.0,wow love thanks
14014,OMG IM IN SUCH A BAD MOOD 2DAY   wats ppl doin2nite?,negative,0.0,omg im bad mood day wats ppl doinnite
14015,Just picked up my copies of the printed brochures I did for the BWRC. So excited,positive,1.0,picked copy printed brochure bwrc excited
14016,"sleepy time! and, my room is finally clean.",positive,1.0,sleepy time room finally clean
14019,"bored , cleanin the house",negative,0.0,bored cleanin house
14021,WOW. My teacher just called me a skunk cuz of my hair,positive,1.0,wow teacher called skunk cuz hair
14023,Sitting in on a Friday Night Bored,negative,0.0,sitting friday night bored
14025,Regrettin some of the decisions I made,negative,0.0,regrettin decision made
14026,Just passed a wrecked car  hoping everyone got out OK. Finally picking up speed. Should have been in B`mpre by now.,positive,1.0,passed wrecked car hoping everyone got ok finally picking speed bmpre
14027,I hurt my foot in gym class.,negative,0.0,hurt foot gym class
14029, *HUGS you*  awwww......i`m sorry you are feeling sad E!,negative,0.0,hug awwwwim sorry feeling sad e
14031,i am soo **** sick of wades mood swings... uhh i hate him.. he`s an ****!! ahhhh,negative,0.0,soo sick wade mood swing uhh hate he ahhhh
14032," Oh good, this thing is viral now",positive,1.0,oh good thing viral
14033,listing to music while putting the finishing touches on my mothers day present and the cool part is it didn`t cost my a thing,positive,1.0,listing music putting finishing touch mother day present cool part didnt cost thing
14034,Greys Anatomy is so fuckn awesome atm!!,positive,1.0,grey anatomy fuckn awesome atm
14036,"A Don`t Stop Believing remix? Sure, why not?  Sacrilege   ? http://blip.fm/~5jkpz",negative,0.0,dont stop believing remix sure sacrilege httpblipfmjkpz
14037, it starts @ 6. But we will be there until they throw us out. Traffic will be crazy!,negative,0.0,start throw u traffic crazy
14038,About to embark on a large tour of bars for a project.  Hopefully I won`t die from alcohol poisoning,positive,1.0,embark large tour bar project hopefully wont die alcohol poisoning
14039, thank you for your comment,positive,1.0,thank comment
14040, thankyou,positive,1.0,thankyou
14042,I`m awake and can`t sleep bc I`m feeling sick  yuck!!!,negative,0.0,im awake cant sleep bc im feeling sick yuck
14043, i agree with  spongebob is better,positive,1.0,agree spongebob better
14045,Not excited of blowing out another candle today... [as when I was a kid!],negative,0.0,excited blowing another candle today kid
14046,FREE UNLIMITED RINGTONES!!! - http://tinyurl.com/freeringring - USA ONLY - Awesome 4 iphone,positive,1.0,free unlimited ringtones httptinyurlcomfreeringring usa awesome iphone
14047,so bored without a camera,negative,0.0,bored without camera
14052,_emo_zac and a good morning from france to my zaccie,positive,1.0,emozac good morning france zaccie
14053," Thanks, Kelly! You are too sweet!",positive,1.0,thanks kelly sweet
14054, happy birthday month!! I only get a day but you deserve the whole month,positive,1.0,happy birthday month get day deserve whole month
14055, thanks alot. Hope you can help spread the word and get people involved. We are already making a real difference,positive,1.0,thanks alot hope help spread word get people involved already making real difference
14056, ahahahaha you love Twilight don`t liee!!!  and we all know I love Robert Pattinson!!,positive,1.0,ahahahaha love twilight dont liee know love robert pattinson
14058, at home  im so lonely here...,negative,0.0,home im lonely
14059,"Well, I`m here, good morning/brunch-ish I took my exam, think I did good",positive,1.0,well im good morningbrunchish took exam think good
14060," lol what bothers me is that i`m messing with my metabolism   drinking lots of water pretending its different food, Mmmm grapes!",negative,0.0,lol bother im messing metabolism drinking lot water pretending different food mmmm grape
14061,R.I.P little bird that flew into my window snapping his neck,negative,0.0,rip little bird flew window snapping neck
14064,": G`night twitterverse, much twitter luv to you all  ? http://blip.fm/~5yvnd",positive,1.0,gnight twitterverse much twitter luv httpblipfmyvnd
14065, Totally!!! Rock onnnn!,positive,1.0,totally rock onnnn
14070, Aw thank you. I suppose it`s a good thing since it means more tweeting.,positive,1.0,aw thank suppose good thing since mean tweeting
14071, www.youtube.com/watch?v=CyJvgnP9-vA sowwwwyy! U girls make me twisted all time,negative,0.0,wwwyoutubecomwatchvcyjvgnpva sowwwwyy u girl make twisted time
14078, yay! you should do it. just think about the animals and it`s not as hard,positive,1.0,yay think animal hard
14080, haha we had balcony seats  not that great. there`s a giant dragon thing that has glowing red eyes and moves its wings!,negative,0.0,haha balcony seat great there giant dragon thing glowing red eye move wing
14082, anywhere!!! i don`t mind...as long as i`m superman and there`s good music...all is sweet,positive,1.0,anywhere dont mindas long im superman there good musicall sweet
14085,I`m very sorry for the little disturbance at #SAPInsidetrack in Palo Alto! Just went into a debugging session when lines unmuted,negative,0.0,im sorry little disturbance sapinsidetrack palo alto went debugging session line unmuted
14087,"bah, i h8 waking up",negative,0.0,bah h waking
14090,  Hi Jenna. Hope all is well   Just thinking of you and wishing you the best! Lots of love from over here in New York!!!,positive,1.0,hi jenna hope well thinking wishing best lot love new york
14091," ooh a storm, that`s always welcome news  Happy Mothers Day!",positive,1.0,ooh storm thats always welcome news happy mother day
14092," wow. have a safe trip back home  and we`re all begging you, please come back to bloomington as soon as you can!",positive,1.0,wow safe trip back home begging please come back bloomington soon
14095,Q: what studio created `Open Season`? should google it or look at the dvd downstairs but feeling lazy,negative,0.0,q studio created open season google look dvd downstairs feeling lazy
14097,Got my hair cut. Great.  stupid gum.,negative,0.0,got hair cut great stupid gum
14098,Wating to get my hair cut before prom. It sucks people screaming instead of talking.     Probably going to be wating for another hour  ...,negative,0.0,wating get hair cut prom suck people screaming instead talking probably going wating another hour
14099,Love my mommy happy mothers day,positive,1.0,love mommy happy mother day
14100,"despite rain, having a fantastic day",positive,1.0,despite rain fantastic day
14101,waiting for the last video to be rendered. while watching episode 11,positive,1.0,waiting last video rendered watching episode
14103,Yesterday was the 1 year anniversary of the best day ever! YAY MCR!!!!,positive,1.0,yesterday year anniversary best day ever yay mcr
14104,I am sad today,negative,0.0,sad today
14108,  thanks hun!! I`m working hard over here...  thanks mama!! I yuhh you!!!,positive,1.0,thanks hun im working hard thanks mama yuhh
14109," Sheesh. No crochet? BAH and humbug. And sleep? Um, I suppose I will someday",negative,0.0,sheesh crochet bah humbug sleep um suppose someday
14111, boo...I thought being on the list meant it would be good to go  looks like i`ll have to get a CF adapter for my dslr!,negative,0.0,booi thought list meant would good go look like ill get cf adapter dslr
14113,So tired and I have work at 5pm  #fb,negative,0.0,tired work pm fb
14115, that was so much fun! the banana dessert alone is worth the trip to austin! we`ll be back soon,positive,1.0,much fun banana dessert alone worth trip austin well back soon
14116, yeah doesn`t that suck!  I am working with a Nano here so i had to take 75% of my music off!  so sad,negative,0.0,yeah doesnt suck working nano take music sad
14117,i hate that feeling you get when you listen to a song and it completely reminds you of how things used to be & you get emotional,negative,0.0,hate feeling get listen song completely reminds thing used get emotional
14118,Liking the Windows 7 Release Candidate so far... (also liking my new video card and terabyte harddisk  ),positive,1.0,liking window release candidate far also liking new video card terabyte harddisk
14119,ofcourse they start fightin aight the party buts its cool theyu held it down now im chillin with my home girl  HAPPY MOTHERS DAY,positive,1.0,ofcourse start fightin aight party buts cool theyu held im chillin home girl happy mother day
14120,Happy Mother`s Day Mama bear,positive,1.0,happy mother day mama bear
14123, awesome! have to take a look at them when i`m home.,positive,1.0,awesome take look im home
14127,"the scrubs finale was beautiful, just so so perfect. can`t believe they`re gonna do another season",positive,1.0,scrub finale beautiful perfect cant believe theyre gonna another season
14128,Goin 2 eat some SMACKS 4 breakfast then getting started on my day- catch ya on the flipside- I really wish I cud go mobile-dang Bahrain,positive,1.0,goin eat smack breakfast getting started day catch ya flipside really wish cud go mobiledang bahrain
14129, well she likes it so i call it a SUCCESS,positive,1.0,well like call success
14130,i hate history coursework sooo much,negative,0.0,hate history coursework sooo much
14131,says misses my cousins so badly!!!  http://plurk.com/p/x2bha,negative,0.0,say miss cousin badly httpplurkcompxbha
14134, Oh that can`t be nice,negative,0.0,oh cant nice
14135, dude you didn`t even say bye,negative,0.0,dude didnt even say bye
14136,"Happy Mother`s day! Going to cook something, thank goodness there`s tablespotting",positive,1.0,happy mother day going cook something thank goodness there tablespotting
14137,It is Gloomy outside. It is making me sad  I miss the sun and its happiness!!,negative,0.0,gloomy outside making sad miss sun happiness
14139,"Thanks everyone for twittering with me. Still a newbie.. so if you have friends who you would like to invite here, please help a girl out",positive,1.0,thanks everyone twittering still newbie friend would like invite please help girl
14140,missing bham,negative,0.0,missing bham
14141," so wednesday my mom is making a huge special dinner & whatnot to celebrate the new single, just so ya knoww",positive,1.0,wednesday mom making huge special dinner whatnot celebrate new single ya knoww
14142,Sick of fighting so it looks like no more burlesque for me,negative,0.0,sick fighting look like burlesque
14143, Aww...thanks! He`s the best husband ever. He really is. I`m so lucky!  Hope you`re having a wonderful Saturday evening!,positive,1.0,awwthanks he best husband ever really im lucky hope youre wonderful saturday evening
14145," Hey lady, will you be coming to Canada in the fall? I`d love to see you in concert some time! It`ll be my 1st time!",positive,1.0,hey lady coming canada fall id love see concert time itll st time
14148,Nice and clean now,positive,1.0,nice clean
14150,time for me to go to bed. Am very tired. catch up with you all in a couple of days when I land & recover from flying to Denmark,negative,0.0,time go bed tired catch couple day land recover flying denmark
14151,I think I might like Twiterfon better than Tweetie now. Recent upgrades from Twiterfon have been great! None from Tweetie,positive,1.0,think might like twiterfon better tweetie recent upgrade twiterfon great none tweetie
14153, I`ma say you should smudge yourself before I start calling people given the malicious action we pulled the other night,negative,0.0,ima say smudge start calling people given malicious action pulled night
14156," yes i love manchester orchestra,and sigur ross. all the other bands ive never heard of but ill give them a listen. thanks",positive,1.0,yes love manchester orchestraand sigur ross band ive never heard ill give listen thanks
14158, because i stopped today :S wish me luck.....  (had to overload first),positive,1.0,stopped today wish luck overload first
14165,It wasn`t a good day ..,negative,0.0,wasnt good day
14168,_LeAnn if it makes you feel better im studying on a sat night w/o blackberries,positive,1.0,leann make feel better im studying sat night wo blackberry
14170,Yay! I finally made sales at the gallery; Really helps when the artists are there,positive,1.0,yay finally made sale gallery really help artist
14171,   Hey Honey  Bunny here  big bunny hugs,positive,1.0,hey honey bunny big bunny hug
14172," iya, nyokap gue pernah berkata demikian  :-|  and it`s so hard to share what we have",negative,0.0,iya nyokap gue pernah berkata demikian hard share
14174,I`m not sure why walking around in barnes and noble comforts me so much. O well now I`m off to work,positive,1.0,im sure walking around barnes noble comfort much well im work
14175, blah blah blah.... just kidding dude  i`ve never had anyone offer up their stem cells before haha!,positive,1.0,blah blah blah kidding dude ive never anyone offer stem cell haha
14177,My head hurts,negative,0.0,head hurt
14178," it is very unlucky  the day wasn`t the same without you! i hope to see you on wednesday though, right? x",negative,0.0,unlucky day wasnt without hope see wednesday though right x
14180,HAPPY MOTHER`S DAY to all of the wonderful women out there.  Have a great and relaxful day.,positive,1.0,happy mother day wonderful woman great relaxful day
14182, Aww I feel bad for the lil ****. He look like he know what`s coming,negative,0.0,aww feel bad lil look like know whats coming
14183,I have just been to see the Jonas Brothers 3D movie with   was funny NO ONE else was there  hahah can`t... http://tinyurl.com/magcwo,positive,1.0,see jonas brother movie funny one else hahah cant httptinyurlcommagcwo
14185,good night! im off to sleeep!!!! 5 am  good mornining! xD,positive,1.0,good night im sleeep good mornining xd
14186,I want someone to come over so i can take pictures but no one can,negative,0.0,want someone come take picture one
14189,is  wishing work was done soon  <3,positive,1.0,wishing work done soon
14190,already crying and the movie only started like 15mins ago,negative,0.0,already cry movie started like min ago
14191,13 hours til i`m on a plane. Ahhh yay,positive,1.0,hour til im plane ahhh yay
14192,Ok... No one was interested in my special.   Now the popcorn is stale! What a waste. I`m going to find a homeless person to give it to ...,negative,0.0,ok one interested special popcorn stale waste im going find homeless person give
14193,How sad is it that your best friend is so selfish and heartless that they exclude you from their life completely...I`m so sad,negative,0.0,sad best friend selfish heartless exclude life completelyim sad
14194,my twitter has been hacked again,negative,0.0,twitter hacked
14195,Off to get ready for toms..  gotta go make sure he`s not done anything stupid  ill tweet later.,negative,0.0,get ready tom gotta go make sure he done anything stupid ill tweet later
14196, oh no your sick! I`m feeling kinda sick too  and I`m hating this overcast weather!,negative,0.0,oh sick im feeling kinda sick im hating overcast weather
14198,  get well soon!,positive,1.0,get well soon
14199,"http://twitpic.com/675u6 - Square B - she is sad because she wasn`t there and now she`s, well, square  (crocheted bee with poly fibe ...",negative,0.0,httptwitpiccomu square b sad wasnt shes well square crocheted bee poly fibe
14200," thanks  let me know which print from my gallery you would like, and we can work the details out",positive,1.0,thanks let know print gallery would like work detail
14201," they were lushh wernt they, i managed to keep up to lol aww they were amazing  ****",positive,1.0,lushh wernt managed keep lol aww amazing
14203, http://twitpic.com/67318 - *sniff* i feel so left out!   *grin*,negative,0.0,httptwitpiccom sniff feel left grin
14206,  get back to tokyo man..we miss you.,negative,0.0,get back tokyo manwe miss
14207,Why are money problems so bad these days,negative,0.0,money problem bad day
14208,aw taxi man is going fast just for meee,positive,1.0,aw taxi man going fast meee
14209," Ugh, frustrating. I see a few briefs a week with groups in them, mostly from traditional agencies.",negative,0.0,ugh frustrating see brief week group mostly traditional agency
14212,  i like yours too   i enjoy your photography. =],positive,1.0,like enjoy photography
14213,Is up so early and proppa shattered and knackered,negative,0.0,early proppa shattered knackered
14216,disappointed she didn`t win teh glassez.,negative,0.0,disappointed didnt win teh glassez
14219,I`m havin the stupid stomach pain again & again... Today is my outing with SPH frenz & my stomach nvr fails to dissappoint me. Haiz,negative,0.0,im havin stupid stomach pain today outing sph frenz stomach nvr fails dissappoint haiz
14221,_zulu or get up on that Michael Jackson ish.  Not a bad look IMO,positive,1.0,zulu get michael jackson ish bad look imo
14222,ah my tummy hurts  **** starbucks sugar/chocolate/caffeine,negative,0.0,ah tummy hurt starbucks sugarchocolatecaffeine
14225,Somebody buy me a plane ticket home!! I miss my girl...,negative,0.0,somebody buy plane ticket home miss girl
14229, hey Jodi.. what`s up??ugg.. im bored.. i just made a sundae.. c u monday.. ( hahaha it rymed...) loll. cu in school,negative,0.0,hey jodi whats upugg im bored made sundae c u monday hahaha rymed loll cu school
14230," Oh, and Happy Judd Day haha  #juddday",positive,1.0,oh happy judd day haha juddday
14231,got it? good. HAPPY MOTHERS DAY!,positive,1.0,got good happy mother day
14232,_mit_glee It is confusing and flippin expensive,negative,0.0,mitglee confusing flippin expensive
14236,Beautiful sunshine when I woke up  but litterally 2 minutes later it starts to rain! I must be cursed.,negative,0.0,beautiful sunshine woke litterally minute later start rain must cursed
14239,is hating the weather. UGH.,negative,0.0,hating weather ugh
14241,woah! I Love the new twitter app! So many new things to do. just got finished watching Jon4Lakers video on this and it was good.,positive,1.0,woah love new twitter app many new thing got finished watching jonlakers video good
14243,a bit worried...,negative,0.0,bit worried
14245,i like this Dr. Seuss quote - ï¿½You know you`re in love when you can`t fall asleep because reality is finally better than your dreams.' -,positive,1.0,like dr seuss quote ï ½you know youre love cant fall asleep reality finally better dream
14250,"#SanctuarySunday  it`s our mission to make #Sanctuary a trending topic for the day, lots of people on board for it...join in",positive,1.0,sanctuarysunday mission make sanctuary trending topic day lot people board itjoin
14251,soooo fed up with this,negative,0.0,soooo fed
14254,"_beyond I told you people in indiana were batshit. I lived there, after all. I feel like I escaped from that Orwell book everyday...",negative,0.0,beyond told people indiana batshit lived feel like escaped orwell book everyday
14255,had an amazing night with the girls,positive,1.0,amazing night girl
14256, can`t! need to work on overtime project at lunchtime.    Sorry!,negative,0.0,cant need work overtime project lunchtime sorry
14257,wishes Happy Mother`s Day!,positive,1.0,wish happy mother day
14260," I managed to find few places where you can combine fun, pleasure and savings but it took some planning though",positive,1.0,managed find place combine fun pleasure saving took planning though
14261,Such a beautiful day...wish my bike hadn`t been run over by a car - hit and run.   #bikeTO,positive,1.0,beautiful daywish bike hadnt run car hit run biketo
14262,A VERY HAPPY MOTHER`S DAY TO ALL MOTHERS OUT THERE! Mamma Mia - Abba   ? http://blip.fm/~5z5uw,positive,1.0,happy mother day mother mamma mia abba httpblipfmzuw
14265,Screw you guys and your prom pictures,negative,0.0,screw guy prom picture
14266,So Bored. Firday Evening And Nothing To Do,negative,0.0,bored firday evening nothing
14270,Headed to see friends new baby. Gave up trip to the lake cause of dance class. Such a good mama.,positive,1.0,headed see friend new baby gave trip lake cause dance class good mama
14271,nomatter how much i sleep am still tired  either going to sleep early or late....,negative,0.0,nomatter much sleep still tired either going sleep early late
14274, Celebrity sighting: Spongebobs here! #BEA09   LOL! Now I`m even more distraught I missed it,negative,0.0,celebrity sighting spongebobs bea lol im even distraught missed
14276,"i know i have lots of comments to return but i have been really busy  i`ll get round to it guys, sorry",negative,0.0,know lot comment return really busy ill get round guy sorry
14279,Im sure the 5 ppl who came in after me will be seen by a dentist before I will,negative,0.0,im sure ppl came seen dentist
14280,Rain makes for a good study day  almost done!!,positive,1.0,rain make good study day almost done
14281,My dog Roscoe died yestarday and I`m so sad,negative,0.0,dog roscoe died yestarday im sad
14285,My dad is trying to force me to learn to drive. I don`t like doing things I`m not good at in public,negative,0.0,dad trying force learn drive dont like thing im good public
14286, we cant come toniiiite !! arggh i want to tho  have fun for uss. well def see u 2morrow nite tho!,positive,1.0,cant come toniiiite arggh want tho fun us well def see u morrow nite tho
14287,"this song called stolen, it soooo amazing!! it by Dashboard Confessional",positive,1.0,song called stolen soooo amazing dashboard confessional
14288, don`t get impatient! for what? you have already sinned: strawberries with milk and sugar,negative,0.0,dont get impatient already sinned strawberry milk sugar
14291,Hoping I hear something soon about Krystles surgery,positive,1.0,hoping hear something soon krystles surgery
14298,"waking now, so lazy and very worry ...",negative,0.0,waking lazy worry
14299,_yeah - I know the feeling... Good morning mate!,positive,1.0,yeah know feeling good morning mate
14300,Neville88 am gud enuh hun...was jus sayin hi n hopin that ur avin a gud nite so far..HAPPY LADIES DAY 2MORO THEN...is dat better,positive,1.0,neville gud enuh hunwas jus sayin hi n hopin ur avin gud nite farhappy lady day moro thenis dat better
14302,Goin to bed... Finally. So sleepy! *Happy mothers day!*,positive,1.0,goin bed finally sleepy happy mother day
14305,going to see star trek with my babe  im actually excited about this hah,positive,1.0,going see star trek babe im actually excited hah
14306,C-News wasn`t as bad as I expected... could have done better... but today we did a great show...,positive,1.0,cnews wasnt bad expected could done better today great show
14307, i want magic mountain tix but i dont get ur station out in paso  boo sux for me,negative,0.0,want magic mountain tix dont get ur station paso boo sux
14308,http://twitpic.com/67hvr - This picture is from last year freshman year how I miss thos days,negative,0.0,httptwitpiccomhvr picture last year freshman year miss tho day
14311,just got home from church. The Service was good,positive,1.0,got home church service good
14312,What do u see in her that i dont have  ,negative,0.0,u see dont
14313,Geography papers are so boring!  I hate revision!,negative,0.0,geography paper boring hate revision
14317,"K, just finished my last 2 clients for the night. Going home alone  Thats ok I need to be alone, must find inner peace.",negative,0.0,k finished last client night going home alone thats ok need alone must find inner peace
14321,"Still no pic, very sad",negative,0.0,still pic sad
14325,"butterfly fly away- miley ray  , oh & happy mothers day <3 love u mami.",positive,1.0,butterfly fly away miley ray oh happy mother day love u mami
14326,14 more days with slow internet,negative,0.0,day slow internet
14329, Hi Sharon Missed you on our x factor last year!!  Come Back!! x,positive,1.0,hi sharon missed x factor last year come back x
14331,All of you can have fun tweeting all day while im cleaning hair  LOL,positive,1.0,fun tweeting day im cleaning hair lol
14332,The muse has me gripped firmly by the throat. Really enjoying my writing,positive,1.0,muse gripped firmly throat really enjoying writing
14333," haha, happened to me a lot of times. Know the feeling. Happy mums day to ur mom too delle",positive,1.0,haha happened lot time know feeling happy mum day ur mom delle
14335,Still in same queue barely 1 metre from where i last twittered. This is insane. And i paid for this,negative,0.0,still queue barely metre last twittered insane paid
14337,Last night went really well. Got some cracking shots,positive,1.0,last night went really well got cracking shot
14339,i wish i was at the beach already,positive,1.0,wish beach already
14340,"I had a new work picture taken today, hated it, it looks too much like me http://bit.ly/PHjUR",negative,0.0,new work picture taken today hated look much like httpbitlyphjur
14341,"USA/Texas Jaycees Debate team ROCKED the house! They now have the opportunity to represent us in Tunsia, Africa! GO JAYCEES!",positive,1.0,usatexas jaycees debate team rocked house opportunity represent u tunsia africa go jaycees
14344,had a funny time at neball against PLC  score: 48-3. what a game.,positive,1.0,funny time neball plc score game
14346, hello  Well it`s sunny out but my head is fuzzy and coffee isn`t brewed yet... how`s your day..?!,negative,0.0,hello well sunny head fuzzy coffee isnt brewed yet hows day
14347,"fine, i give in, docs again today. not being able to breath this morning made me think i should. hate docs",negative,0.0,fine give doc today able breath morning made think hate doc
14348,"_M Melted maybe 2 square inches of skin. Ran it under cold water for a min or two and then iced until the ice melted. Now, hurts",negative,0.0,melted maybe square inch skin ran cold water min two iced ice melted hurt
14349, I hate that Costco always costs us so much money,negative,0.0,hate costco always cost u much money
14350,Was quite amusing watching Pangaea sing 'F*** Killah Priest!' I guess he won`t be featuring on their album,positive,1.0,quite amusing watching pangaea sing f killah priest guess wont featuring album
14351,This day is fkn UGLY & it matches my mood  unfortunatly. Time 2 blast off 2 the moon,negative,0.0,day fkn ugly match mood unfortunatly time blast moon
14352, Extremely excited! i`m 15 days behind you,positive,1.0,extremely excited im day behind
14353, Haha! At the Somerset theatre in Ottawa. I remember that well. The more things change the more they stay the same,positive,1.0,haha somerset theatre ottawa remember well thing change stay
14355,Happy Mother`s Day  http://bit.ly/LRSnG,positive,1.0,happy mother day httpbitlylrsng
14357, has just voted for you. hope you win!,positive,1.0,voted hope win
14359, Sorry we couldn`t get the project working with the windoze laptop  but a ton of folks came up afterwards and saw it running,negative,0.0,sorry couldnt get project working windoze laptop ton folk came afterwards saw running
14361,Happy Star Wars Day! .... May the 4th Be with You!,positive,1.0,happy star war day may th
14362,_0981 ohh that`s awesome of you  probably coulda gotten gifted tickets outta it from the foil queens LOL,positive,1.0,ohh thats awesome probably coulda gotten gifted ticket outta foil queen lol
14363, you`re in London?! Wow! I`m near there,positive,1.0,youre london wow im near
14365, Well thank you.,positive,1.0,well thank
14366, good luck with the deer next weekend!! Hope it isn`t too cold or snowy,positive,1.0,good luck deer next weekend hope isnt cold snowy
14367," Actually, I also thought Mother`s Day was May 31st until I was remembered of Pentecost  Uselessly complicated, I would say",negative,0.0,actually also thought mother day may st remembered pentecost uselessly complicated would say
14368,"Photo: So I still havnï¿½t hooked up my editing comp  I know you guys miss my artwork, so Iï¿½ve decided to... http://tumblr.com/xeh1wetiq",negative,0.0,photo still havnï ½t hooked editing comp know guy miss artwork iï ½ve decided httptumblrcomxehwetiq
14369,Rachmaninoff makes me a happy panda.,positive,1.0,rachmaninoff make happy panda
14370, the script are amaaazing! Rusty halo and i`m yours are my favourites,positive,1.0,script amaaazing rusty halo im favourite
14372, seriously...it only gets sadder,negative,0.0,seriouslyit get sadder
14373,finally over my sickness.,positive,1.0,finally sickness
14375,"Sry but other day tweets were MIA - twitter network glitch, but story was re: funeral mix-up, as in wrong remains delivered to ea.",negative,0.0,sry day tweet mia twitter network glitch story funeral mixup wrong remains delivered ea
14377," wouldn`t that cost quite a bit, I mean flying pizza from China? Nice fusion idea I may have to experiment",positive,1.0,wouldnt cost quite bit mean flying pizza china nice fusion idea may experiment
14378,just done planting the garden...hope sun will shine soon!,positive,1.0,done planting gardenhope sun shine soon
14380, Shame about your job  have you thought about working for yourself?  there`s big money to be paid http://bit.ly/1864ml,negative,0.0,shame job thought working there big money paid httpbitlyml
14381,what a day!!! motorways and trains noooootttttttt fun,negative,0.0,day motorway train noooootttttttt fun
14382, omg wtf why is there a **** site following me?!,negative,0.0,omg wtf site following
14383, Oh no!,negative,0.0,oh
14385, hahaha. do it  you`ll have a blast.,positive,1.0,hahaha youll blast
14388, night Diana and if you travel soon take care,positive,1.0,night diana travel soon take care
14389, whatsoever do you mean by `how I get down` lol I`m always sober,positive,1.0,whatsoever mean get lol im always sober
14391,hugh isn`t on it  lied last week,negative,0.0,hugh isnt lied last week
14392, yeah it is I feel sad tho.,negative,0.0,yeah feel sad tho
14393,  hope u feel better sweetie,positive,1.0,hope u feel better sweetie
14397, yes and no. there`s some strange infection in my body that`s causing me to be sicker than I need and to have a fever.,negative,0.0,yes there strange infection body thats causing sicker need fever
14399,nice hair and nowhere to go,positive,1.0,nice hair nowhere go
14401,At TGC concert  good to see old friends and remember the old times!,positive,1.0,tgc concert good see old friend remember old time
14403,_henrie http://twitpic.com/4jbsq - looks so good!!  i want one!!,positive,1.0,henrie httptwitpiccomjbsq look good want one
14405, Thanks for the follow. I`m loving the energy on your site. The spaz in me can`t help but be drawn to you  http://www.ted.me/,positive,1.0,thanks follow im loving energy site spaz cant help drawn httpwwwtedme
14407,"Gorgeous weather, but no bike",positive,1.0,gorgeous weather bike
14408," Thanks Heather, glad you like the dish",positive,1.0,thanks heather glad like dish
14409," wow, great to know a piece of software ensures our timely project delivery  #ProductNamingRulez",positive,1.0,wow great know piece software ensures timely project delivery productnamingrulez
14411,_Cullen oh really!!! i`ve already put all the pics up!! sorry!!   http://twitpic.com/61oj0,negative,0.0,cullen oh really ive already put pic sorry httptwitpiccomoj
14413,I miss the Air Canada Centre and Andy Frost...,negative,0.0,miss air canada centre andy frost
14415,Ok super bored... guess no one else it,negative,0.0,ok super bored guess one else
14419,Oh dear. Sunburned back,negative,0.0,oh dear sunburned back
14420, Ohmygosh. I KNOW. That would make my night for SURE. lol.  Goodnight!,positive,1.0,ohmygosh know would make night sure lol goodnight
14423,not in the mood,negative,0.0,mood
14424,$RZ Hope so.  Time will tell.  Good luck   $$,positive,1.0,rz hope time tell good luck
14425, Thanks! (followed me back),positive,1.0,thanks followed back
14427, ohh right; but it turned her curve into a right angle.... I just like her better curvey   thanks for letting me know though!,positive,1.0,ohh right turned curve right angle like better curvey thanks letting know though
14428,"I have a 4-H lamb meeting. It should be fun. And it is sunny! Yay! I can play with my horses this afternoon. Clap, clap, clap!!!",positive,1.0,h lamb meeting fun sunny yay play horse afternoon clap clap clap
14429, you`re so lucky. we have 6 weeks until summer,positive,1.0,youre lucky week summer
14430," have a great time in the Hamptons. Hope it`s for some relaxation, not for work",positive,1.0,great time hampton hope relaxation work
